REGION,PROVINCE,ADDRESS,NAME OF FACILITY,"OWNERSHIP (DOH Retained, LGU, GOVERNMENT & PRIVATE)",CLASSIFICATION (Hospital-based / non-hospital based) ,TESTING PROCEDURE,Brand,"Date of Submission of Application & Self-Assessment Tool
(start date)
",STAGE,"REMARKS
",LTO VALIDITY,LICENSED NUMBER,With POOLED testing certificate,HEAD OF LABORATORY,EMAIL ADDRESS,CONTACT NUMBER,INSPECTORS / ASSESORS,,,,,,,,,,,,,
Region 4A,Batangas,"Brgy. Pulong Niogan, Mabini",Mabini Community Hospital,GOVERNMENT,Hospital Based,Cartridge-based PCR,EasyNat,"April 16, 2021",3,FOR COMPLIANCE,,,,Dr. Tee,cbeniga@gmail.com,63966 742 9688,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
CAR,Benguet,"Pack Road, Baguio City",Baguio General Hospital and Medical Center (BGHMC),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,14-0067-21-H3-1,"December 21, 2020",Dr. Rhesa Michelle Managan -Wong,bghmcmolbiolab@gmail.com,(074) 661 7910 loc 758,,,,,,,,,,,,,,
CAR,Benguet,"Halsema Highway, La Trinidad",Benguet General Hospital,LGU,Hospital Based,rRT PCR,,,5,NEW,02/16/21 - 12/31/21,14-0066-21-H2-1,,Dr. Bernadette Baldo,beghlab@gmail.com,,,,,,,,,,,,,,,
CAR,Benguet,"Bakakeng Norte, Baguio City",Parkway Medical and Diagnostic Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,14-0063-2021-CT-2,,,parkwaybaguio@gmail.com,0916 595 1712,,,,,,,,,,,,,,
Region 7,Bohol,Tagbilaran City,Bohol Containerized PCR Laboratory,LGU,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0013-2021-CT-2,,Dr. Jessica Socorro-Yu,phoboholhospital@gmail.com,,,,,,,,,,,,,,,
Region 7,Bohol,"Miguel Parras St., 
 Tagbilaran City, Bohol",Governor Celestino Gallares Memorial Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0149-21-H3-1,,Dr. Joseph Antoine Chatto,gcgmhmolecularlab2020@gmail.com,(038) 411 4868,,,,,,,,,,,,,,
Region 10,Bukidnon,Malaybalay City,Bukidnon Provincial Medical Center,GOVERNMENT,Hospital Based,rRT PCR,,"February 2, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
Region 3,Bulacan,"99 Potenciano Street, Malolos, Bulacan",Bulacan Medical Center,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,03-0071-21-H3-1,,Dr. Joseph Michael R. Espiritu,bmcmolecularlab@yahoo.com,(044) 791 0630,,,,,,,,,,,,,,
Region 3,Bulacan,"99 Potenciano Street, Malolos, Bulacan",Bulacan Medical Center,LGU,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0071-21-H3-1,,Dr. Joseph Michael R. Espiritu,bmcmolecularlab@yahoo.com,(044) 791 0630,,,,,,,,,,,,,,
Region 3,Bulacan,City of Malolos,Graman Medical & Maternity Hospital Inc Molecular Laboratory,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0115-20-H1-2,,Dr. Aida Isabel Mendoza-Leano,gramanmolecularlab@gmail.com,(044) 896 2292,,,,,,,,,,,,,,
Region 3,Bulacan,Mun. of Bocaue,"Marilao Medical and Diagnostic Clinic, Inc.",PRIVATE,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0012-2021-CT-2,,Dr. Grig Misiona,joniv.mol.lab@gmail.com,,,,,,,,,,,,,,,
Region 3,Bulacan,San Jose Del Monte,Qualimed Hospital - San Jose Del Monte,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0431-21-H2-2,,,sjdm.hospital@qualimed.com.ph,(044) 307 0000,"Dr. Hautea, Ar. Leonado, Ms. Bato, Ms. Casagan, Engr. Reyes & Mr. Tonolete",,,,,,,,,,,,,
Region 3,Bulacan,Sta. Maria,Multi-Lifecare Foundation Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,"March 15, 2021",4,For Proficiency Testing,,,,,,,,,,,,,,,,,,,,
Region 2,Cagayan,"Tuguegarao City, Tuguegarao, Cagayan",Cagayan Valley CHD TB Reference Laboratory,DOH Retained,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,02-0056-2021-CT-1,,Dr. Brendalyn A. Gallebo,chdcvdoh@yahoo.com,,,,,,,,,,,,,,,
Region 2,Cagayan,"Maharlika Highway, Carig Sur, Tuguegarao City, Cagayan",Cagayan Valley Medical Center Molecular Laboratory,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,02-0263-21-H3-1,,Dr. Marvin John B. Pua,cvmc.cmps@yahoo.com,(078) 302 0000,,,,,,,,,,,,,,
Region 2,Cagayan,"City of Ilagan, Isabela",San Antonio City of Ilagan Hospital,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0096-21-H3-1,,Dr. Paguirigan,sanantoniohospitalcity.ofilagan@gmail.com/ janmarvicabano@gmail.com,639052132976,,,,,,,,,,,,,,
CAR,Calinga,Tabuk City,Tabuk City Covid-19 RT-PCR Testing Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"April 12, 2021",3,FOR COMPLIANCE,,,,Dr.Lacuesta,tabukcho@yahoo.com,63918 941 5100,"Ar. Leonado, Ms. Fermo, Mr. Olmedo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 5,Camarines Sur,"BMC Rd., Concepcion Pequeña, Naga City, Camarines Sur",Bicol Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,05-0071-21-H2-1,,Dr. Raymundo B. Ibbarientos,bicolmedcovidlab@gmail.com,9669450261,,,,,,,,,,,,,,
Region 5,Camarines Sur,"Sipocot - Cabusao Rd, Cabusao, Camarines Sur",Bicol Region General Hospital and Geriatric Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,04/15/21 - 12/31/21,,,Dr. Sarmiento,brghgmc@gmail.com,(054) 754 2244,,,,,,,,,,,,,,
Region 6,Capiz,Roxas City,Roxas City Diagnostic and Laboratory Center,LGU,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0042-2020-CT-1,,Dr. Rodelio Lim,rcdalc.20@gmail.com,"09228709918, 09958197039","Engr. Lui, Ms. Fermo, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 6,Capiz,Roxas City,Roxas Memorial Provincial Hospital Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0421-21-H2-1,,Dr. Iros,rmphrxcapiz@yahoo.com,639173120899,,,,,,,,,,,,,,
Region 4A,Cavite,"Governor, D. Mangubat St, Avenue, Dasmariñas, 4114 Cavite",De La Salle Medical and Health Sciences Institute,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0142-21-H3-2,,Dr. Charles Yu,covidlab@dlshsi.edu.ph,9175408675/ 09171697732,,,,,,,,,,,,,,
Region 4A,Cavite,"Baranggay Manggahan, Santusan St, General Trias, Cavite","GentriMedical Center and Hospital, Inc.",PRIVATE,Hospital Based,rRT PCR,,,5,NEW,01/29/21 - 12/31/21,4A-0337-21-H2-2,,Dr. Rolan Dela Rosa,gentrimedmolecularlab@yahoo.com,639169316757/ 639162593289,"Dr. Bonagua, Ms. Toledo, Ms. Bato, Padua & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Cavite,City of Imus,Ospital ng Imus,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0031-2021-CT-1,"April 12, 2021",,alexandramromero@yahoo.com,(046) 419 8300,,,,,,,,,,,,,,
Region 4A,Cavite,Mun. of Kawit,Stark Molecular Laboratory Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,01/18/21/ - 12/31/21,4A-0007-2021-CT-2,,Dr. Misiona,starkmolecularlabph@gmail.com,639175556684,"Dr. Bonagua, Ms. Toledo, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Cavite,Trece Martires,General Emilio Aguinaldo Memorial Hospital,GOVERNMENT,Hospital Based,rRT PCR,,2020,3,FOR COMPLIANCE,,,,,,,"Ar. Leonado, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Cavite,City of General Trias,"GentriMedical Center and Hospital, Inc.",PRIVATE,Hospital Based,Cartridge-based PCR,BDmax,"February 23, 2021",4,For Proficiency Testing,,,,,,,,,,,,,,,,,,,,
Region 7,Cebu,"Sitio Malinao, Brgy. Agus, Lapu-Lapu City",Allegiant Regional Care Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0048-2021-CT-2,,Dr. Mary Jean P. Loreche,archospitals.laboratory@outlook.com,0917-124-3650; 517-5061,,,,,,,,,,,,,,
Region 7,Cebu,"Ground Floor, CAP Building., Jones Ave., Cebu CIty","BioPath Clinical Diagnostic, Inc. - AFRIMS",PRIVATE,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,07-0066-2021-CT-2,,Dr. Mary Jean P. Loreche,biopathCAP@biopath.ph,415-35-34 / 517-0825,,,,,,,,,,,,,,
Region 7,Cebu,"Ground Floor, CAP Building., Jones Ave., Cebu CIty","BioPath Clinical Diagnostic, Inc. - AFRIMS PCR laboratory",PRIVATE,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0066-2021-CT-2,,Dr. Mary Jean P. Loreche,biopathCAP@biopath.ph,415-35-34 / 517-0825,,,,,,,,,,,,,,
Region 7,Cebu,"40J Llorente St. Capitol site, Cebu city","BioPath Clinical Diagnostic, Inc. - CEBU",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0075-2021-CT-2,,Ms. Lao,rmlao@biopath.ph,,,,,,,,,,,,,,,
Region 7,Cebu,"40J Llorente St. Capitol site, Cebu city","BioPath Clinical Diagnostic, Inc. - CEBU",PRIVATE,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,02/26/21 - 12/31/21,07-0075-2021-CT-2,,Ms. Lao,rmlao@biopath.ph,,"Dr. Bonagua, Ms. Toledo, Ms. Foronda, Ms. Padua & Engr. Nolan",,,,,,,,,,,,,
Region 7,Cebu,"Cebu Doctors’ University Bldg., Osmeña Blvd., Capitol Site (Pob.)","Cebu Doctors University Hospital, Inc.",PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0272-21-H3-2,,Dr. Alma E. Malilong,cduhlabresults2@yahoo.com / cduhlab.cdg@gmail.com,(032) 255 5555,,,,,,,,,,,,,,
Region 7,Cebu,"B. Rodriguez St, Cebu City, Cebu",Cebu TB Reference Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0027-2021-CT-1,,Dr. Mary Jean P. Loreche,casescresilda@gmail.com,254-0134,,,,,,,,,,,,,,
Region 7,Cebu,"B. Rodriguez St, Cebu City, Cebu",Cebu TB Reference Laboratory,GOVERNMENT,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,07-0027-2021-CT-1,"January 27, 2021",Dr. Mary Jean P. Loreche,casescresilda@gmail.com,254-0134,,,,,,,,,,,,,,
Region 7,Cebu,"Don Mariano Cui Street, Fuente Osmeña Cebu City",Chong Hua Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0313-21-H3-2,,Dr. Ruby Rusia-Uy,josephine_jasmin_ong@chonghua.com.ph,(032) 255 8000,,,,,,,,,,,,,,
Region 7,Cebu,"Don Mariano Cui Street, Fuente Osmeña Cebu City",Chong Hua Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,Biofire,,5,NEW,04/15/21 - 12/31/21,,,Dr. Ruby Rusia-Uy,josephine_jasmin_ong@chonghua.com.ph,(032) 255 8000,,,,,,,,,,,,,,
Region 7,Cebu,"Gorordo Avenue, Kamputhaw, Cebu City","Perpetual Succour Hospital of Cebu, Inc.",PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0319-21-H3-2,,Sister Gau,sistergau17@gmail.com,,,,,,,,,,,,,,,
Region 7,Cebu,"Gorordo Avenue, Kamputhaw, Cebu City","Perpetual Succour Hospital of Cebu, Inc.",PRIVATE,Hospital Based,Cartridge-based PCR,BioFire,,5,NEW,03/17/21 - 12/31/21,07-0319-21-H3-2,,Sister Gau,sistergau17@gmail.com,,,,,,,,,,,,,,,
Region 7,Cebu,Cebu City,Philippine Red Cross - Cebu Chapter,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0016-2021-CT-2,,,cebu@redcross.org.ph,(032) 328 9238,,,,,,,,,,,,,,
Region 7,Cebu,Lapu-Lapu City,Prime Care Alpha Covid-19 Testing Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0064-2021-CT-2,,,paznar.primecare@gmail.com,(032) 232 2273,,,,,,,,,,,,,,
Region 7,Cebu,Cebu City,RHS 7 Molecular Laboratory (PNP),GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,NEW,03/13/21 - 12/31/21,07-0017-2021-CT-1,,Ms. Aboloc,marilouaboloc98@gmail.com,,"Dr. Aguilar,Ar. Leonado, Mr. Malbacias & Dr. Valeza",,,,,,,,,,,,,
Region 7,Cebu,Mandaue City,University of Cebu Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,07-0049-21-H2-2,"December 21, 2020",,ucmedlaboratory@gmail.com,(032) 517 0888,,,,,,,,,,,,,,
Region 7,Cebu,"B. Rodriguez St, Cebu City, 6000",Vicente Sotto Memorial Medical Center (VSMMC),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,07-0271-21-H3-1,,,mjloreche@yahoo.com,(032) 253 9891,,,,,,,,,,,,,,
Region 7,Cebu,Lapu Lapu City,Allegiant Regional Care Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,BioFire,"March 15, 2021",3,FOR COMPLIANCE,,,,,,,"Dr. Hautea, Ms. Toledo & Engr. Soriano",,,,,,,,,,,,,
Region 12,Cotabato,"Rosary Heights,, 10 Sinsuat Ave, Region 12, Cotabato City, 9600 Maguindanao (BARMM)",Cotabato Regional Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,12-0098-21-H3-1,"March 25, 2021",Dr. Sherjan Kalim,crmc_12@yahoo.com,(064) 421-2340,region,,,,,,,,,,,,,
Region 12,Cotabato,"Rosary Heights,, 10 Sinsuat Ave, Region 12, Cotabato City, 9600 Maguindanao (BARMM)",Cotabato Regional Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,12-0098-21-H3-1,"March 25, 2021",Dr. Sherjan Kalim,crmc_12@yahoo.com,(064) 421-2340,"Dr. Aguilar, Mr. Malbacias, Ar. Leonado, Ms. Foronda, Ms. Padua, Engr. Tolentino & Ms. Sia",,,,,,,,,,,,,
Region 12,Cotabato,"Rizal St., Pob. B, Mlang",Mlang District Hospital,LGU,Hospital Based,rRT PCR,,,2,,,,,Dr. Mary Anne L. Bernas,cecil_dalisay@yahoo.com,,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco, Ms. Foronda & Ms. Padua",,,,,,,,,,,,,
Region 11,Davao de Oro,Montevista,Davao de Oro Provincial Hospital,LGU,Hospital Based,rRT PCR,,,5,NEW,02/24/21 - 12/31/21,11-29-21-25-H1-1,,Dr. Nerilyn Kunnang,ddopmontevista1998@gmail.com,,"Ar. Leonado, Ms. Toledo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao Del Norte,"Tagum, 8100 Davao del Norte",Davao Regional Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,11-0442-21-H3-1,,Dr. Alejandro Domingo,covidlab@drmc.doh.gov.ph,0955 980 1761 / 0965 943 1300 /  0912 641 7327,,,,,,,,,,,,,,
Region 11,Davao Del Norte,"Tagum, 8100 Davao del Norte",Davao Regional Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,02/05/21 - 12/31/21,11-0442-21-H3-1,,Dr. Alejandro Domingo,molecularlab@drmc.doh.gov.ph,,"Engr. Lui, Ms. Fermo",,,,,,,,,,,,,
Region 11,Davao Del Sur,"118 Elpidio Quirino Ave, Poblacion District, Davao City, 8000 Davao del Sur",Davao Doctors Hospital,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,11-0383-21-H3-2,,Dr. Oscar Grageda,rbremperas@ddh.com.ph info@ddh.com.ph,(082) 222 8000,,,,,,,,,,,,,,
Region 11,Davao Del Sur,"Catitipan, Barangay Buhangin, Buhangin, Dabaw, Lalawigan ng Davao del Sur",Davao International Airport Laboratory,LGU,Hospital Based,rRT PCR,,,5,NEW,01/15/21 - 12/31/21,11-0383-21-H3-2,,Dr. Oscar Grageda,chodvo.dialab@gmail.com,,"Ar. Leonado, Ms. Toledo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao Del Sur,Davao City,Davao One World Diagnostic Center Incorporated,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,11-0008-2021-CT-2,,Dr. Mary Ann Libre-Bernas,davaooneworld@gmail.com,0965 753 9240,,,,,,,,,,,,,,
Region 11,Davao Del Sur,Davao City,PRO 11 RT- PCR Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,NEW,02/03/21 - 12/31/21,11-0010-2021-CT-2,,Dr. Kunnang,,639190918030,"Dr. Hautea, Ar. Leonado, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao Del Sur,"Southern Philippines Medical Center, J.P. Laurel Ave, Bajada, Davao City, 8000",Southern Philippines Medical Center (SPMC),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,11-0024-21-H3-1,,,info@spmc.com.ph,(082) 227 2731,,,,,,,,,,,,,,
Region 11,Davao Del Sur,"Southern Philippines Medical Center, J.P. Laurel Ave, Bajada, Davao City, 8000",Southern Philippines Medical Center (SPMC) - Pop-up,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,11-0024-21-H3-1,,,info@spmc.com.ph,(082) 227 2731,,,,,,,,,,,,,,
Region 11,Davao del Sur,Davao City,Vitalab Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,03/30/21 - 12/31/21,11-0022-2021-CT-2,,Ms Dacquiado,vitalabmain.corp@gmail.com,639985445932,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao del Sur,Davao City,"Safeguard DNA Diagnostics, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,05/03/21 - 12/31/21,,,Ms. Ola,maola@sddiph.com,639272634888,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao del Sur,Davao City,Hyatt Diagnostic System Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,"January 18, 2021",3,FOR COMPLIANCE,,,,Dr. Padilla,hyattdiaginc@gmail.com,639228931002 / 639753133368,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 11,Davao Del Sur,Davao City,Los Amigos Davao Laboratory,LGU,Non-Hospital Based,rRT PCR,,"October 12, 2020",3,FOR COMPLIANCE,,,,,,,"Engr. Lui, Ms. Fermo,Ms. Foronda, Ms. Padua & Engr. Tolentino",,,,,,,,,,,,,
Region 11,Davao Del Sur,Davao City,Southern Philippines Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,"June 8, 2020",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
Region 1,Ilocos Norte,"Barangay 6, San Julian, Batac, Ilocos Norte",Mariano Marcos Memorial Hospital,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,01-0160-21-H3-1,,Dr. Modesty Leano,mmmhmc.molecularlab@gmail.com,(077) 600 8000,,,,,,,,,,,,,,
Region 1,Ilocos Norte,"Barangay 6, San Julian, Batac, Ilocos Norte",Mariano Marcos Memorial Hospital,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,01-0160-21-H3-1,,Dr. Modesty Leano,mmmhmc.molecularlab@gmail.com,(077) 600 8000,,,,,,,,,,,,,,
Region 6,Iloilo,Municipality of Pototan,Iloilo Provincial Hospital,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0052-2021-CT-1,,Dr. James Ravena,ngcyntiac@gmail.com / hmo@iloilo.gov.ph,639279893813,"Dr. Aguilar, Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 6,Iloilo,Iloilo City,Metro Iloilo Hospital and Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0443-21-H2-2,,Dr. Florie Jean Licera,mihmci.cobid19lab@gmail.com,(033) 327 1527,,,,,,,,,,,,,,
