Timestamp,Email Address,Region,Province,City/ Municipality, Name of Laboratory,Type of Ownership,Type of Testing,Zoning Catchment Area (province/city/municipality) + total specimen per area per day (i.e. Rizal-50),Operating Hours per day,Operating Days,Declared turnaround time from specimen receipt to results release (in hours),Cut off time,"Actual Maximum Operational Capacity per day (# of samples than can be tested  per day-based on available machine, HR, operating hours, etc.  i.e. 1000)","Maximum number of samples that can be processed per day (based on available machine, HR, supplies, operating hours, etc. i.e. 1000)",Status of Laboratory Operational Capacity,Factors Affecting Current Operational Capacity,Number of Operational Extraction Machine ,Compatible Specimen Collection Kit to Extraction Machines,Number of Sansure SSR needed per day ,Number of VTM needed per day,Compatible DOH Procured Automated Extraction Kit to Extraction Machine,Number of Automated Extraction Kit needed per day,"Maximum Automated Extraction Output Per Day (maximum number of samples extracted per day based on available machine, HR, operating hours, etc.)","Current Automated Extraction Output per day (actual number of samples extracted per day based on available machine, HR, supplies, operating hours, etc.)",Number of Manual Extraction Kit needed per day,"Maximum Manual Extraction Output Per Day (maximum number of samples that can be extracted per day based on available machine, HR, operating hours, etc.)","Current Manual Extraction Output per day (current number of samples that can be extracted per day based on available machine, HR, supplies, operating hours, etc.)",Factors Affecting Extraction Output ,Operational PCR Machines,Number of PCR Kits needed per day,"Maximum PCR Output per day (maximum samples processed per day based on available machine, HR, operating hours, etc.)","Current PCR Output per day (current samples  processed per day based on available machine, HR, supplies, operating hours, etc.)",Type of Cartridge-based RT-PCR Machine,Type of Cartridged-based Modules,Total Operational Machine Modules (numeric value),Total number of Genexpert cartridges needed per day (numeric value),Total number of GeneXpert cartridges needed per month (numeric value),Other Requirements Prior to Acceptance of Samples,Other Laboratory Needs,Laboratory Contact Person,Contact Number (For DOH only),Specimens Collected,Preferred DOH Procured Manual Extraction Kit ,Brand of PCR Machines,Compatible DOH Procured PCR Kits to PCR Machines,Brand of RNA Extraction Machine,Testing output relative to capacity (number of samples tested/ declared maximum number of samples that can be processed) x 100 ,Positive Control Failure (No of runs in a day affected by a positive control failure),Internal Control Failure (No. of samples released with invalid result/ total number of samples tested for the day x 100),Negative Control Failure (No. of runs in a day affected by negative control failure),Declared turnaround time from specimen receipt to results release (in hours),Maximum Machine Operational Capacity [total samples per run x number of runs per day x total machines (separate RNA extraction from RT PCR machines i.e. 400; 500)],Total samples tested last week (from Mon to Sun),Total Cartridged-based samples tested per day
3/29/2021 15:20:30,nmmcgenexpress@gmail.com,X,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY,NORTHERN MINDANAO MEDICAL CENTER,DOH Owned,GeneXpert,MISAMIS ORIENTAL,24 hours,7 days with holidays,48 hours,NO CUT OFF TIME,144,20,Average/Manageable,N/A,No Extraction Machine,"VTM, Sansure SSR, VTM and SSR",N/A,N/A,N/A,N/A,N/A,V,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,Cepheid GeneXpert,"Four placer, Sixteen placer",IV AND XVI,20,600,N/A,N/A,"OCSIO, MELANIE",09177726586,,,,,,,,,,,,,
3/29/2021 15:32:32,rmc.covidlab@gmail.com,NCR,NCR,PASIG CITY,RIZAL MEDICAL CENTER - GENEXPERT LABORATORY,DOH Owned,GeneXpert,N/A,12 hours,7 days with holidays,24 hours,4:30PM,128,30,Increase,SUPPLY OF CARTRIDGES ,No Extraction Machine,VTM,,30,,,,,,,,,,,,,Cepheid GeneXpert,Sixteen placer,16,50,1100,,,JUSTINE LORENZ V. FALZADO,09164395801,,,,,,,,,,,,,
3/29/2021 15:33:09,marklapid18@yahoo.com,III,PAMPANGA,CITY OF SAN FERNANDO,OUR LADY OF MT. CARMEL MEDICAL CENTER-MOLECULAR LABORATORY,Private,RT-PCR,100,16 hours,6 days,24 hours,5:00 PM,300,60-100,Increase,DOCTOR'S REQUEST AND PATIENT EXPOSURE,1,VTM,N/A,100-200,,6,300,100,N/A,N/A,N/A,NUMBER OF SPECIMEN ,1,1-2,300,100,N/A,N/A,N/A,N/A,N/A,"CIF, PROPER TRANSPORT PACKAGING, PROPER SPECIMEN LABELLING",,GIAN CARLO S. VILLANUEVA,,,,,,,,,,,,,,
3/29/2021 15:35:34,mmhmolab2@gmail.com,VI,Negros Occidental,Bacolod CIty,Corazon Locsin Montelibano Memorial Regional Hospital,DOH Owned,RT-PCR,Bacolod City and Negros Occidental,12 hours,"7 days, 7 days with holidays",24 hours,3PM,250,250,Average/Manageable,Number of Specimens. Time specimens were submitted,2,VTM,0,200,Genolution Nextractor,2 box (96's),192,192,96,96,96,"Number of SPecimens, Time specimen sent",3,192,192,192,NA,0,N/A,N/A,N/A,N/A,N/A,Alain C. Juayang and  Monica Z. Imperial,+639226942501,,,,,,,,,,,,,
3/29/2021 15:44:44,nmtbrc.covid@gmail.com,X,Misamis Oriental,Cagayan de Oro City,Northern Mindanao TB Reference Center (COVID-19) Laboratory,DOH Owned,RT-PCR,"Misamis Oriental - 50, Misamis Occidental - 50, Lanao del Norte/Iligan City - 20 , Bukidnon - 70 , Camiguin Island -  20",16 hours,7 days with holidays,48 hours,9:00 PM,1536,384,Average/Manageable,,2,VTM and SSR,0,0,,4 Genolution kits (48 test/kit) or 2 MegaBio plus Virus Purification Kit II (96 test/kit),576,384,4,400,200,,4,16 Sansure kits or 2 Mirxes Fortitude Kits,744,372,,,0,0,0,None,,Gemma G. Uy,09065375647,,,,,,,,,,,,,
3/29/2021 15:55:25,pathologymole.armmc@gmail.com,NCR,Metro Manila,Marikina CIty,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,DOH Owned,RT-PCR and GeneXpert,"NCR-50, RIZAL-30",8 hours,6 days,48 hours,1:00 PM,80,60,Increase,"Lack of Manpower, Constraint on Schedule, Not fully automated",1,VTM and SSR,40,40,Genolution Nextractor 48,2,0,0,1,80,60,"Lack of Manpower, Constraint schedule",1,2,80,60,Cepheid GeneXpert,"Four placer, Sixteen placer",20,20,300,"CIF, Lab Request Form, CF-2, CDRS-based LinelisT, Specimen integrity",n/a,RACQUEL RHYS CASAOL VERZOSA,09154324900,,,,,,,,,,,,,
3/29/2021 16:00:53,aageronimo@tdf.org.ph,NCR,Metro Manila,Makati,"Tropical Disease Foundation, Inc.",Private,RT-PCR,Makati - 285,12 hours,6 days,24 hours,4 pm,285,285,Average/Manageable,,1,VTM and SSR,,,,,,,,,,,2,,285,285,,,,,,,,Anthony Geronimo,09338614356,,,,,,,,,,,,,
3/29/2021 16:05:51,rpmcimoleclab20@gmail.com,IV-A,QUEZON,GUMACA,RAKKK Prophet Medical center Inc.,Private,GeneXpert,District 4 of Quezon,8 hours,6 days with holidays,24 hours,10 am,64,1-16,Average/Manageable,,No Extraction Machine,VTM,,5-10,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,10,50,"Completeness of Forms, Acceptable Samples",,Carmela Lacsina,09178324292,,,,,,,,,,,,,
3/29/2021 16:08:42,batmcxpertxpresscovidlab@gmail.com,IV-A,Batangas,Batangas City,BATMC GENEXPERT LABORATORY,DOH Owned,GeneXpert,CALABARZON - emergency cases only,12 hours,,24 hours,12 noon,120,120,Decrease,Operational Molecular lab,2,,N/A,120,,N/A,N/A,N/a,N/A,N/a,N/A,N/a,,,,,Cepheid GeneXpert,Sixteen placer,16,120,1000,,"BatMC GeneXpert Lab operation is every Thursday, Friday and Saturday Only. It caters emergency Cases only",,740 8307 local 1044,,,,,,,,,,,,,
3/29/2021 16:08:54,coro@healthmetrics.com.ph,NCR,NCR,Makati,"HEALTH METRICS, INC",Private,RT-PCR,300,8 hours,6 days,24 hours,5:00,300,300,Increase,,2,VTM,0,300,TANBEAD VERI Q,2,300,300,0,300,0,CLUSTERING,,300,,300,BIORAD CF96 MBM,0,0,0,0,CIF AND LINELIST,NONE,"CHERYL MAE M. ORO, RMT",09178519564,,,,,,,,,,,,,
3/29/2021 16:11:15,covid19lab.sjd@gmail.com,III,BULACAN,SAN JOSE DEL MONTE,QUALIMED HEALTH NETWORK SJDM,Private,RT-PCR,Bulacan-91,24 hours,7 days with holidays,48 hours,16:00,364,140,Average/Manageable,None,1,Sansure SSR,91,NA,NA,4,91,0,4,91,91,None,2,6,273,140,NA,NA,NA,NA,NA,NA,NA, Lucille Katherine Deligero,09266965428,,,,,,,,,,,,,
3/29/2021 16:22:05,vsmmcmolecularlab@gmail.com,VII,Cebu,Cebu City,Vicente Sotto Memorial Medical Center,DOH Owned,RT-PCR,Central Visayas - 700 + OFW (Balik Pinas) - 500,24 hours,7 days with holidays,48 hours,None,1000,1000,Average/Manageable,Current number of samples tested is dependent on the number of samples received,2,VTM and SSR,500,500,Kingfisher with consumables,1000,1000,800,250,500,0,Availability of Reagents & Consummables that are compatible with existing machine,6,1000,1000,800,None,None,NA,NA,NA,Electronically encoded CIF data in online portal,,"Dr Reynette Christine Ligaray, MPH, FPSP",09190794768,,,,,,,,,,,,,
3/29/2021 16:26:26,dappmcpgosocotcovidlab@gmail.com,XII,SOUTH COTABATO,CITY OF KORONADAL (CAPITAL),DR. ARTURO P. PINGOY MEDICAL CENTER,Private,GeneXpert,SOUTH COTABATO - 50,8 hours,7 days with holidays,24 hours,03:00PM,200,200,Decrease,WE ONLY CATER PUBLIC AND PRIVATE HOSPITALS INCLUDING EMERGENCY CASES,No Extraction Machine,NA,0,0,NA,0,0,0,0,0,0,NA,,,,,,Sixteen placer,16,100,2000,NA,NA,"JOHN ARLO M. CODILLA, RN.",0915 671 1426,,,,,,,,,,,,,
3/29/2021 16:41:34,sharyll.gonzales@gmail.com,X,Misamis Oriental,Cagayan de Oro City,Philippine Red Cross- Cagayan de Oro Molecular Laboratory,Private,RT-PCR,"Iligan-324
Gingoog-24
Bukidnon-192
Davao de Oro-24
Digos-19
Oroquieta-6
Tagum-11",24 hours,7 days with holidays,48 hours,None,2000,2000,Average/Manageable,Presence of other Covid  Molecular Laboratories both public and private,1,Sansure SSR,200,N/A,N/A,1,180,180,N/A,N/A,N/A,N/A,2,4 Nucleic Acid Diagnostic Kit (48T),180,,N/A,N/A,N/A,N/A,N/A,"Correct transport and storage ,correct masterlist and CIF, correct labels/barcodes in the UTM",N/A,Arabella Radaza,N/A,,,,,,,,,,,,,
3/29/2021 17:09:18,covid19_rtpcr@thedoctorshospital.com,VI,NEGROS OCCIDENTAL,BACOLOD CITY,THE DOCTORS' HOSPITAL INC MOLECULAR LABORATORY,Private,RT-PCR,BACOLOD - 28,8 hours,7 days with holidays,48 hours,01:00 PM,96,96,Average/Manageable,N/A,1,VTM,N/A,NUMBER OF VTM NEEDE PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES,GENOLUTION,NUMBER OF KITS NEEDED VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF KITS NEEDED VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF MANUAL EXTRACTION OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF MANUAL EXTRACTION OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,N/A,1,NUMBER OF KITS NEEDED VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF PCR OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,NUMBER OF PCR OUTPUT PER DAY VARIES DEPENDING ON THE NUMBER OF SAMPLES PER DAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GOLDIE JOY A. PLACIDO,09176314579,,,,,,,,,,,,,
3/29/2021 17:21:55,bicolmedcovidlab@gmail.com,V,CAMARINES SUR,NAGA CITY,BICOL MEDICAL CENTER GENEXPERT LABORATORY,DOH Owned,GeneXpert,NAGA CITY-25,12 hours,7 days with holidays,24 hours,4:30PM,240,120,Decrease,INSUFFICIENT GX CARTRIDGE,No Extraction Machine,"VTM, UTM",0,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,240,240,120,Cepheid GeneXpert,"Four placer, Sixteen placer",22,120,3600,NONE,NONE,"MARY ELAINE TOLIDANES, RMT",09669450261,,,,,,,,,,,,,
3/29/2021 17:35:56,molecularlab@mjsantos.com.ph,CARAGA,Agusan Del Norte,Butuan City,Manuel J. Santos Hospital,Private,GeneXpert,Butuan-35,12 hours,7 days with holidays,24 hours,Morning:10am; afternoon: 2pm; on call shift: 9:30pm,48 (12hrs),35 (ave),Average/Manageable,"incomplete infos of CIFs, LACK OF MANPOWER (3 analyst only), SCHEDULING, if one or more module of GeneXpert machine is defective",No Extraction Machine,SANLI VTM,0,40,N/a,0,0,0,0,0,0,0,,0,0,0,Cepheid GeneXpert,Four placer,3,35,750,"complete infos in CIFs, proper storage and proper labels of samples when transporting, 1 nasopharyngeal swab only and should be placed in SANLI VTM",,"Ruth Grace Ranario, RMT",09985822747,,,,,,,,,,,,,
3/29/2021 17:36:50,eichel_manalaysay@yahoo.com,III,Bataan,Balanga,Bataan General Hospital and medical Center-Genexpert,DOH Owned,GeneXpert,N/a,24 hours,7 days with holidays,,None,30,20,Average/Manageable, Cartridge supply,2,VTM,,20,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,20,600,Genexpert Cartridge,Please include Bataan GMC GENEXPERT FOR ALLOCATION OF CARTRIDGEA,Honey Eichel Caringal,09666702352,,,,,,,,,,,,,
3/29/2021 17:48:56,sharonjoyquimpo1212@gmail.com,IV-A,Metro Manila,Metro Manila,"QR Medical Laboratories, Inc.",Private,RT-PCR,Las Pinas City-153,8 hours,6 days,24 hours,3 PM,200,153,Increase,Contact Tracing,1,VTM,0,153,NA,1,153,153,1,5,0-5,Additional walk in ,1,2,153,153,NA,NA,0,0,0,NA,NA,Sharon Joy F. Quimpo,09616281858,,,,,,,,,,,,,
3/29/2021 18:09:01,eichel_manalaysay@yahoo.com,III,Bataan,Balanga,Bataan General Hospital and medical Center-Genexpert,DOH Owned,GeneXpert,N/a,24 hours,7 days with holidays,,None,30,20,Average/Manageable, Cartridge supply,2,VTM,,20,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,20,600,Genexpert Cartridge,Please include Bataan GMC GENEXPERT FOR ALLOCATION OF CARTRIDGEA,Honey Eichel Caringal,09666702352,,,,,,,,,,,,,
